Date,Ticker,InSP500,InNASDAQ100,Price,PriceChange1D,VolumeChange1D,PriceVsMA21_1D,VolumeVsMA21_1D,Max7DPriceChange,Max7DVolumeChange,Max7DPriceVsMA21,Max7DVolumeVsMA21
2026-05-01,TEAM,False,True,88.88,29.58,211.75,1.309,3.086,29.58,211.75,1.309,3.086
2026-05-01,NXPI,True,True,295.24,0.56,-44.3,1.302,0.809,25.55,126.38,1.331,3.06
2026-05-01,INTC,True,True,99.62,5.44,-2.32,1.42,1.134,23.6,81.39,1.451,2.376
2026-05-01,GNRC,True,False,259.34,0.04,-52.93,1.202,1.043,16.49,91.57,1.217,2.983
2026-05-01,PWR,True,False,742.21,1.98,-46.75,1.214,1.32,15.78,82.64,1.214,2.495
2026-05-01,QCOM,True,True,177.01,-1.43,-65.95,1.268,1.24,15.12,189.72,1.308,3.754
2026-05-01,ARM,False,True,211.18,0.41,-36.17,1.192,0.586,14.76,24.38,1.44,2.349
2026-05-01,CNC,True,False,53.34,-0.65,-46.14,1.3,0.892,13.95,80.92,1.38,2.997
2026-05-01,AMD,True,True,360.54,1.71,-24.9,1.28,0.8,13.91,78.91,1.399,2.087
2026-05-01,TER,True,False,345.42,0.57,-63.33,0.952,0.799,12.12,184.38,1.199,3.861
2026-05-01,SWKS,True,False,69.4,-1.1,-49.29,1.16,1.297,11.99,130.84,1.188,2.592
2026-05-01,STX,True,True,726.93,7.91,12.75,1.319,1.714,11.1,104.03,1.319,2.756
2026-05-01,CIEN,True,False,535.29,1.46,-35.11,1.092,0.693,10.98,84.25,1.123,1.176
2026-05-01,IRM,True,False,127.19,0.95,-68.3,1.116,1.008,10.02,172.6,1.118,3.19
2026-05-01,GOOG,True,True,383.22,0.34,-37.33,1.151,1.582,9.97,100.48,1.162,2.549
2026-05-01,GOOGL,True,True,385.69,0.23,-58.39,1.151,1.13,9.96,103.64,1.163,2.679
2026-05-01,CAT,True,False,889.67,-0.05,-54.38,1.117,1.044,9.88,102.75,1.128,2.285
2026-05-01,LLY,True,False,963.33,3.07,-55.68,1.05,1.188,9.8,110.95,1.05,2.576
2026-05-01,SNPS,True,True,489.02,1.33,-37.03,1.097,0.517,9.62,55.1,1.184,1.695
2026-05-01,CBOE,True,False,326.96,8.95,75.89,1.086,1.868,8.95,75.89,1.086,1.868
2026-05-01,CARR,True,False,67.62,0.67,-53.43,1.105,1.038,8.79,76.45,1.107,2.253
2026-05-01,SMCI,True,False,27.09,-1.13,17.9,1.024,0.84,8.71,17.9,1.152,1.373
2026-05-01,NEM,True,False,108.62,-2.22,-38.28,0.951,0.663,8.68,37.56,1.068,1.469
2026-05-01,LITE,True,False,949.93,5.28,-23.6,1.1,0.833,8.46,25.77,1.1,1.076
2026-05-01,SBUX,True,True,105.9,0.54,-33.91,1.074,0.859,8.45,145.09,1.087,3.444
2026-05-01,ORLY,True,True,96.67,-2.75,-40.04,1.035,1.361,8.41,97.84,1.067,2.292
2026-05-01,PSKY,True,False,11.09,8.3,-19.15,1.014,1.088,8.3,155.67,1.075,1.361
2026-05-01,V,True,False,328.03,-0.55,-40.23,1.05,0.989,8.26,88.45,1.081,2.451
2026-05-01,SNDK,True,False,1187.0,8.25,51.02,1.286,1.471,8.25,51.02,1.286,1.471
2026-05-01,GLW,True,False,158.26,-3.64,-44.48,0.967,0.678,8.12,86.32,1.113,1.903
2026-05-01,FFIV,True,False,323.2,-0.22,-24.84,1.054,0.966,8.02,83.55,1.08,2.428
2026-05-01,GD,True,False,345.84,0.45,-27.1,1.034,0.974,7.99,65.35,1.034,2.407
2026-05-01,ADP,True,True,214.21,1.07,-39.71,1.065,0.853,7.98,38.11,1.074,1.485
2026-05-01,PODD,True,False,175.04,1.68,-49.07,0.904,1.184,7.57,241.57,0.947,4.073
2026-05-01,VRT,True,False,328.31,-0.05,-30.03,1.09,0.805,7.29,50.99,1.138,1.463
2026-05-01,CEG,True,True,307.81,-1.66,-34.17,1.052,0.714,7.09,30.42,1.088,1.226
2026-05-01,MSTR,False,True,177.17,7.08,70.44,1.17,1.118,7.08,70.44,1.232,1.118
2026-05-01,MCHP,True,True,93.95,1.12,-14.08,1.186,0.851,7.01,30.54,1.262,2.031
2026-05-01,ZS,False,True,139.81,6.99,20.51,1.047,1.007,6.99,77.49,1.047,1.011
2026-05-01,BKR,True,True,69.12,-0.79,-33.72,1.087,0.634,6.9,27.63,1.114,1.846
2026-05-01,TXT,True,False,94.72,-1.29,-50.02,1.045,1.444,6.88,189.15,1.062,2.959
2026-05-01,BEN,True,False,29.84,-0.43,-22.29,1.118,1.074,6.86,74.31,1.143,2.235
2026-05-01,KLAC,True,True,1726.26,-1.38,-58.42,0.987,0.871,6.59,73.12,1.161,2.085
2026-05-01,VRSK,True,True,181.11,-1.83,-37.52,1.019,0.737,6.53,59.24,1.057,1.947
2026-05-01,MO,True,False,74.55,2.62,-52.34,1.115,1.289,6.52,105.39,1.115,2.708
2026-05-01,TECH,True,False,55.02,-0.54,-45.16,0.984,0.975,6.49,155.99,0.991,1.755
2026-05-01,ORCL,True,False,171.83,6.47,24.88,1.053,0.839,6.47,55.98,1.131,1.253
2026-05-01,NOW,True,False,91.16,3.23,3.11,0.973,0.797,6.36,18.8,0.973,3.286
2026-05-01,DDOG,True,True,140.53,6.31,-13.19,1.137,1.312,6.31,105.29,1.137,1.552
2026-05-01,TMUS,True,True,196.06,0.29,-33.76,1.008,0.519,6.13,31.96,1.013,1.684
2026-05-01,BIIB,True,False,187.06,-1.17,-55.07,1.031,0.525,6.0,98.56,1.074,1.734
2026-05-01,TTD,True,False,24.24,2.76,12.89,1.079,1.02,5.97,87.53,1.092,1.185
2026-05-01,ON,True,False,103.03,2.2,0.5,1.254,0.936,5.96,16.31,1.374,2.236
2026-05-01,ALB,True,False,193.88,-1.43,-48.48,1.028,0.573,5.95,52.39,1.073,1.094
2026-05-01,FSLR,True,False,211.71,4.86,55.33,1.08,2.327,5.92,94.99,1.08,2.327
2026-05-01,CDNS,True,True,340.94,3.44,-12.16,1.108,0.728,5.9,43.06,1.133,1.988
2026-05-01,ARES,True,False,119.0,1.36,-14.77,1.062,1.179,5.9,97.91,1.062,1.405
2026-05-01,WAT,True,False,307.12,-0.68,-47.2,0.972,0.705,5.85,32.87,0.99,1.679
2026-05-01,IEX,True,False,214.93,-1.34,-58.05,1.055,0.718,5.83,85.52,1.08,2.144
2026-05-01,HUM,True,False,233.63,-1.19,-39.77,1.119,0.669,5.83,118.42,1.197,2.091
2026-05-01,MPWR,True,True,1583.48,-1.92,-16.62,1.107,1.496,5.74,56.13,1.245,1.828
